stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10000,5557,Teknologia - Parkea Itp,,43.2914,-2.8581,2,,0,
10001,4570,Olabe,,43.2835,-2.63222,5,,0,
10002,4088,Zaldu Pilotalekua / Frontón,,43.1763,-3.03193,3,,0,
10003,3176,La Tejera,,43.2187,-2.7397,3,,0,
10004,4656,Astelarra,,43.2821,-2.68586,4,,0,
10005,4971,Antonio Alzaga 19,,43.3231,-3.03354,2,,0,
10006,4917,Ugarte,,43.2918,-3.01605,2,,0,
10007,1032,Etxearte,,43.2646,-2.88998,1,,0,
10008,4598,Pulealde,,43.3476,-2.80323,3,,0,
10009,3172,San Miguel,,43.2182,-2.73051,3,,0,
10010,3789,Santa Krutz,,43.1611,-2.88302,3,,0,
10011,3549,Gernika 8 Abaro,,43.2236,-2.88867,2,,0,
10012,3790,Arbildu,,43.1637,-2.8879,3,,0,
10014,4216,Bidezabal Venancios,,43.358,-3.0094,2,,0,
10015,5087,El Carral,,43.2496,-3.15553,3,,0,
10016,0840,Plaza Levante Lehendakari Aguirre 172,,43.2818,-2.96282,1,,0,
10017,0409,Begoña Basilika,,43.259,-2.91359,1,,0,
10018,4854,Geltokia / Estacion Metro,,43.4019,-2.94654,3,,0,
10019,3903,Gipuzkoa Etorbidea 23,,43.1797,-2.49783,5,,0,
10020,4348,Astoreka Zabortegia / Vertedero,,43.2785,-2.77408,3,,0,
10021,4727,La Bilbaina Arritugane,,43.3202,-2.86216,3,,0,
10022,3499,Olarte El Regato Ikastetxea,,43.2675,-3.00279,2,,0,
10023,3280,Lepanto Lanbarketa,,43.2127,-2.88929,2,,0,
10024,5542,Iturribengoa,,43.3171,-2.98182,2,,0,
10025,3585,Landaida Anbulatorioa,,43.3692,-2.99846,2,,0,
10026,4673,Zabalondo Industrialdea,,43.3392,-2.86074,3,,0,
10027,3999,Soietxe,,43.3352,-2.80234,3,,0,
10028,3332,Lutxana Geltokia / Estación,,43.2881,-2.97566,2,,0,
10029,5323,Magdalenabidea Zubietakoerrota,,43.3181,-2.96897,2,,0,
10030,3178,Gudari,,43.2201,-2.73605,3,,0,
10031,5538,Eleizalde,,43.2975,-2.63773,5,,0,
10032,4171,Zugazarte 2 Marítimo,,43.3275,-3.01503,2,,0,
