trip_id,stop_sequence,arrival_time,departure_time,stop_id
2048,17,17:45:21,17:45:46,8.0
2309,10,17:45:32,17:45:47,33.0
2150,13,17:45:35,17:46:00,12.0
2172,7,17:45:36,17:46:01,8.0
1979,18,17:45:50,17:46:15,10.0
1963,22,17:45:54,17:46:09,3.0
2197,6,17:45:55,17:46:15,37.0
2363,12,17:45:55,17:46:10,17.0
2082,7,17:46:02,17:46:17,21.0
1813,1,17:46:12,17:46:27,25.0
2288,23,17:46:18,17:46:33,40.0
1867,7,17:46:19,17:46:44,6.0
1911,24,17:46:26,17:46:51,5.0
2029,2,17:46:29,17:46:44,41.0
1801,23,17:46:31,17:46:51,24.0
2206,3,17:46:35,17:47:00,4.0
2048,18,17:46:40,17:47:05,7.0
1846,19,17:46:48,17:46:58,36.0
2378,12,17:46:50,17:47:20,13.0
2066,19,17:46:53,17:47:08,20.0
2402,12,17:46:54,17:47:19,11.0
2132,1,17:46:58,17:47:08,28.0
2109,3,17:47:01,17:47:16,2.0
1979,19,17:47:05,17:47:30,9.0
2363,13,17:47:07,17:47:22,16.0
2228,15,17:47:09,17:47:24,16.0
2172,8,17:47:09,17:47:34,9.0
2309,11,17:47:09,17:47:34,32.0
1939,13,17:47:10,17:47:35,13.0
2005,15,17:47:10,17:47:35,32.0
2150,14,17:47:20,17:47:45,11.0
1963,23,17:47:22,17:47:37,2.0
1867,8,17:47:41,17:48:06,7.0
1911,25,17:47:42,17:48:07,4.0
2082,8,17:47:46,17:48:01,20.0
2197,7,17:47:48,17:47:58,36.0
2206,4,17:47:52,17:48:17,5.0
2288,24,17:48:00,17:48:10,41.0
1813,2,17:48:03,17:48:23,24.0
2048,19,17:48:05,17:48:30,6.0
2029,3,17:48:16,17:48:26,40.0
1801,24,17:48:26,17:48:41,25.0
1846,20,17:48:27,17:48:47,37.0
2172,9,17:48:28,17:48:53,10.0
2066,20,17:48:35,17:48:50,21.0
2402,13,17:48:38,17:49:03,12.0
2109,4,17:48:39,17:48:54,3.0
2228,16,17:48:39,17:48:54,17.0
1979,20,17:48:41,17:49:06,8.0
1939,14,17:48:55,17:49:20,12.0
1867,9,17:48:56,17:49:21,8.0
2132,2,17:48:58,17:49:13,27.0
2005,16,17:49:04,17:49:19,33.0
2150,15,17:49:10,17:49:35,10.0
1911,26,17:49:14,17:49:29,3.0
2197,8,17:49:16,17:49:36,35.0
2082,9,17:49:21,17:49:46,19.0
2378,13,17:49:21,17:49:36,14.0
2363,14,17:49:21,17:49:41,15.0
1813,3,17:49:35,17:50:00,23.0
2343,1,17:49:37,17:49:52,51.0
2029,4,17:49:37,17:49:52,39.0
2206,5,17:49:39,17:50:04,6.0
2048,20,17:49:46,17:50:11,5.0
1963,24,17:49:47,17:49:57,1.0
2109,5,17:49:55,17:50:20,4.0
2066,21,17:49:56,17:50:11,22.0
1801,25,17:49:58,17:50:13,26.0
2288,25,17:50:00,17:50:10,42.0
1979,21,17:50:00,17:50:25,7.0
1846,21,17:50:08,17:50:23,38.0
2402,14,17:50:10,17:50:40,13.0
2228,17,17:50:14,17:50:29,18.0
2172,10,17:50:14,17:50:39,11.0
2264,1,17:50:21,17:50:36,2.0
2150,16,17:50:25,17:50:50,9.0
1867,10,17:50:29,17:50:54,9.0
2197,9,17:50:29,17:50:54,34.0
2309,12,17:50:30,17:50:55,13.0
2005,17,17:50:32,17:50:57,34.0
1939,15,17:50:40,17:51:05,11.0
1911,27,17:50:42,17:50:57,2.0
1889,1,17:50:57,17:51:12,42.0
2206,6,17:51:01,17:51:26,7.0
2048,21,17:51:02,17:51:27,4.0
2029,5,17:51:04,17:51:19,38.0
2082,10,17:51:05,17:51:20,18.0
2109,6,17:51:12,17:51:37,5.0
2132,3,17:51:16,17:51:31,26.0
1963,25,17:51:20,17:51:30,51.0
1813,4,17:51:21,17:51:36,22.0
1979,22,17:51:25,17:51:50,6.0
2343,2,17:51:26,17:51:36,1.0
2066,22,17:51:33,17:51:58,23.0
1846,22,17:51:33,17:51:48,39.0
2378,14,17:51:34,17:51:54,15.0
2228,18,17:51:40,17:52:05,19.0
2363,15,17:51:48,17:52:03,14.0
1867,11,17:51:48,17:52:13,10.0
2005,18,17:51:49,17:52:09,35.0
2172,11,17:51:58,17:52:23,12.0
2264,2,17:51:59,17:52:14,3.0
2150,17,17:52:01,17:52:26,8.0
2197,10,17:52:12,17:52:27,33.0
1801,26,17:52:14,17:52:29,27.0
2309,13,17:52:15,17:52:40,12.0
2206,7,17:52:16,17:52:41,8.0
1939,16,17:52:30,17:52:55,10.0
2048,22,17:52:34,17:52:49,3.0
2029,6,17:52:35,17:52:55,37.0
2082,11,17:52:35,17:52:50,17.0
1813,5,17:52:42,17:52:57,21.0
2132,4,17:52:52,17:53:07,25.0
1846,23,17:52:58,17:53:13,40.0
2109,7,17:52:59,17:53:24,6.0
1979,23,17:53:06,17:53:31,5.0
1889,2,17:53:09,17:53:24,41.0
2066,23,17:53:11,17:53:31,24.0
2264,3,17:53:15,17:53:40,4.0
2150,18,17:53:20,17:53:45,7.0
2005,19,17:53:28,17:53:38,36.0
