trip_id,route_id,service_id,trip_headsign,direction_id
4165,MB,invvv-2016.pex,Etxebarri,1
4166,MB,invvv-2016.pex,Larrabasterra,0
4167,MB,invvv-2016.pex,Etxebarri,1
4168,MB,invvv-2016.pex,Larrabasterra,0
4169,MB,invvv-2016.pex,Etxebarri,1
4170,MB,invvv-2016.pex,Larrabasterra,0
4171,MB,invvv-2016.pex,Etxebarri,1
4172,MB,invvv-2016.pex,Larrabasterra,0
4173,MB,invvv-2016.pex,Etxebarri,1
4174,MB,invvv-2016.pex,Larrabasterra,0
4175,MB,invvv-2016.pex,Sopela,0
4176,MB,invvv-2016.pex,Sopela,0
4177,MB,invvv-2016.pex,Etxebarri,1
4178,MB,invvv-2016.pex,Sopela,0
4179,MB,invvv-2016.pex,Etxebarri,1
4180,MB,invvv-2016.pex,Etxebarri,1
4181,MB,invvv-2016.pex,Basauri,1
4182,MB,invvv-2016.pex,Kabiezes,0
4183,MB,invvv-2016.pex,Basauri,1
4184,MB,invvv-2016.pex,Kabiezes,0
4185,MB,invvv-2016.pex,Basauri,1
4186,MB,invvv-2016.pex,Kabiezes,0
4187,MB,invvv-2016.pex,Basauri,1
4188,MB,invvv-2016.pex,Kabiezes,0
4189,MB,invvv-2016.pex,Basauri,1
4190,MB,invvv-2016.pex,Kabiezes,0
4191,MB,invvv-2016.pex,Basauri,1
4192,MB,invvv-2016.pex,Kabiezes,0
4193,MB,invvv-2016.pex,Basauri,1
4194,MB,invvv-2016.pex,Kabiezes,0
4195,MB,invvv-2016.pex,Basauri,1
4196,MB,invvv-2016.pex,Kabiezes,0
4197,MB,invvv-2016.pex,Basauri,1
4198,MB,invvv-2016.pex,Kabiezes,0
4199,MB,invvv-2016.pex,Basauri,1
4200,MB,invvv-2016.pex,Kabiezes,0
4201,MB,invvv-2016.pex,Basauri,1
4202,MB,invvv-2016.pex,Sopela,0
4203,MB,invvv-2016.pex,Etxebarri,1
4204,MB,invvv-2016.pex,Sopela,0
4205,MB,invvv-2016.pex,Kabiezes,0
4206,MB,invvv-2016.pex,Basauri,1
4207,MB,invvv-2016.pex,Kabiezes,0
4208,MB,invvv-2016.pex,Basauri,1
4209,MB,invvv-2016.pex,Kabiezes,0
4210,MB,invvv-2016.pex,Basauri,1
4211,MB,invvv-2016.pex,Kabiezes,0
4212,MB,invvv-2016.pex,Basauri,1
4213,MB,invvv-2016.pex,Kabiezes,0
4214,MB,invvv-2016.pex,Basauri,1
4215,MB,invvv-2016.pex,Kabiezes,0
4216,MB,invvv-2016.pex,Basauri,1
4217,MB,invvv-2016.pex,Kabiezes,0
4218,MB,invvv-2016.pex,Basauri,1
4219,MB,invvv-2016.pex,Kabiezes,0
4220,MB,invvv-2016.pex,Basauri,1
4221,MB,invvv-2016.pex,Kabiezes,0
4222,MB,invvv-2016.pex,Basauri,1
4223,MB,invvv-2016.pex,Kabiezes,0
4224,MB,invvv-2016.pex,Basauri,1
4225,MB,invvv-2016.pex,Kabiezes,0
4226,MB,invvv-2016.pex,Kabiezes,0
4227,MB,invvv-2016.pex,Basauri,1
4228,MB,invvv-2016.pex,Kabiezes,0
4229,MB,invvv-2016.pex,Basauri,1
4230,MB,invvv-2016.pex,Kabiezes,0
4231,MB,invvv-2016.pex,Basauri,1
4232,MB,invvv-2016.pex,Kabiezes,0
4233,MB,invvv-2016.pex,Basauri,1
4234,MB,invvv-2016.pex,Kabiezes,0
4235,MB,invvv-2016.pex,Basauri,1
4236,MB,invvv-2016.pex,Kabiezes,0
4237,MB,invvv-2016.pex,Basauri,1
4238,MB,invvv-2016.pex,Kabiezes,0
4239,MB,invvv-2016.pex,Basauri,1
4240,MB,invvv-2016.pex,Kabiezes,0
4241,MB,invvv-2016.pex,Basauri,1
4242,MB,invvv-2016.pex,Kabiezes,0
4243,MB,invvv-2016.pex,Basauri,1
4244,MB,invvv-2016.pex,Kabiezes,0
4245,MB,invvv-2016.pex,Basauri,1
4246,MB,invvv-2016.pex,Kabiezes,0
4247,MB,invvv-2016.pex,Basauri,1
4248,MB,invvv-2016.pex,Kabiezes,0
4249,MB,invvv-2016.pex,Kabiezes,0
4250,MB,invvv-2016.pex,Basauri,1
4251,MB,invvv-2016.pex,Kabiezes,0
4252,MB,invvv-2016.pex,Etxebarri,1
4253,MB,invvv-2016.pex,Etxebarri,1
4254,MB,invvv-2016.pex,Ibarbengoa,0
4255,MB,invvv-2016.pex,Etxebarri,1
4256,MB,invvv-2016.pex,Ibarbengoa,0
4257,MB,invvv-2016.pex,Etxebarri,1
4258,MB,invvv-2016.pex,Ibarbengoa,0
4259,MB,invvv-2016.pex,Etxebarri,1
4260,MB,invvv-2016.pex,Ibarbengoa,0
4261,MB,invvv-2016.pex,Sopela,0
4262,MB,invvv-2016.pex,Sopela,0
4263,MB,invvv-2016.pex,Etxebarri,1
4264,MB,invvv-2016.pex,Etxebarri,1
4265,MB,invvv-2016.pex,Sopela,0
